id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,categoria_palabra
314,"palma",5.17,1.09,3.23,1.73,1
315,"pantalón",5.69,1.06,3.34,1.87,1
316,"pared",4.80,0.82,3.09,1.87,1
317,"párrafo",5.03,0.84,2.99,1.73,1
318,"parte",4.97,0.69,3.04,1.84,1
319,"participación",6.29,1.34,4.72,2.09,1
320,"pasta",6.52,1.52,4.06,1.82,1
321,"pastor",5.42,1.22,3.12,1.52,1
322,"pata",4.91,0.83,2.81,1.80,1
323,"patio",5.90,1.17,3.97,1.97,1
324,"patria",5.29,1.60,4.12,1.90,1
325,"patronato",4.71,0.96,3.11,1.96,1
326,"pausa",5.83,1.20,2.69,1.56,1
327,"pavor",2.44,1.35,6.80,1.85,1
328,"paz",8.06,1.19,3.22,2.31,1
329,"pecho",5.77,1.23,3.91,1.96,1
330,"pedazo",5.04,0.72,3.17,1.78,1
331,"peligro",2.60,1.59,7.58,1.61,1
332,"pena",2.18,1.24,5.97,2.11,1
333,"península",5.18,0.99,3.31,1.68,1
334,"pensión",5.04,1.77,3.94,1.90,1
335,"periodista",5.46,1.25,4.10,1.90,1
336,"perro",6.44,1.50,4.81,1.98,1
337,"pesadilla",1.93,1.14,7.43,1.48,1
338,"pestaña",5.44,0.81,3.04,1.67,1
339,"piropo",7.07,1.12,5.31,1.95,1
340,"placa",4.79,0.94,2.99,1.97,1
341,"planeta",6.31,1.21,4.14,1.97,1
342,"plano",5.06,0.87,2.96,1.72,3
343,"plato",5.08,0.94,3.16,1.94,1
344,"pleito",3.09,1.24,5.91,1.88,1
345,"pobreza",1.87,1.25,6.86,1.80,1
346,"poeta",6.40,1.36,3.68,1.98,1
347,"policía",4.18,1.55,5.21,2.20,1
348,"política",3.93,1.46,4.46,2.27,1
349,"pólvora",3.18,1.45,5.87,1.94,1
350,"portería",5.14,0.88,3.21,2.00,1
351,"precisión",5.57,1.15,4.58,1.84,1
352,"pregón",5.27,1.31,3.74,1.92,1
353,"prejuicio",2.60,1.35,6.19,1.87,1
354,"presencia",5.97,1.28,3.99,1.81,1
355,"presentación",5.66,1.26,4.66,2.11,1
356,"presidencia",4.60,1.51,4.43,2.22,1
357,"prestigio",6.51,1.38,4.82,1.92,1
358,"pretendiente",6.61,1.30,5.50,2.40,1
359,"primavera",7.09,1.57,4.77,2.10,1
360,"primo",6.57,1.35,4.02,2.03,3
361,"prisión",2.11,1.34,7.06,1.78,1
