id,palabra,tiempo_tdl,tiempo_naming,edad_de_adquisicion_m,categoria_palabra
218,"atlas",566,532.48,4.48,1
219,"atleta",545,526.70,4.36,1
220,"atmósfera",574,573.48,4.40,1
221,"átomo",558,489.22,6.24,1
222,"atraer",546,475.79,4.76,1
223,"atrapar",542,519.41,3.56,1
224,"atribuir",576,527.62,4.88,1
225,"atún",497,494.69,3.12,1
226,"audiencia",571,563.50,5.68,1
227,"auditorio",599,519.30,5.88,1
228,"auge",606,496.78,5.86,1
229,"aula",520,491.00,3.24,1
230,"aumentar",525,529.78,3.84,1
231,"aumento",528,493.74,4.56,1
232,"aura",632,503.49,5.54,1
233,"aurora",551,515.15,4.64,1
234,"autómata",611,549.70,6.61,1
235,"autonomía",595,560.98,5.23,1
236,"autor",488,462.25,3.96,1
237,"autoridad",570,523.10,4.62,1
238,"auxiliar",571,525.98,4.68,1
239,"auxilio",566,525.81,4.40,1
240,"avalancha",630,549.87,4.56,1
241,"avanzar",511,496.98,3.28,2
242,"avaricia",575,524.89,5.48,1
243,"avaro",608,521.51,5.32,1
244,"ave",502,489.30,2.45,1
245,"aventura",501,498.96,3.08,1
246,"aversión",562,503.66,6.61,1
247,"avestruz",565,491.08,3.58,1
248,"avión",492,462.17,2.33,1
249,"aviso",491,458.96,3.65,1
250,"ayudar",508,464.77,2.56,1
251,"azar",542,479.37,4.51,1
252,"azote",559,476.37,2.96,1
253,"azotea",617,510.09,4.68,1
254,"azúcar",511,485.65,2.56,1
255,"azufre",555,477.86,5.54,1
256,"baba",541,508.31,1.88,1
257,"bacteria",586,533.33,5.09,1
258,"bahía",590,521.62,4.32,1
259,"bailar",519,481.53,2.48,1
260,"bajo",493,490.40,2.32,3
261,"bala",522,502.30,3.57,1
262,"balanza",550,513.31,3.03,1
263,"balcón",554,498.10,4.16,1
264,"ballena",539,533.21,3.19,1
265,"balneario",639,569.60,4.76,1
266,"bambú",568,526.88,4.12,1
267,"banco",527,478.62,2.22,1
268,"banda",531,505.35,4.40,1
269,"bando",591,514.52,4.36,1
270,"banquete",578,530.62,4.00,1
271,"baño",516,477.62,1.65,1
272,"bar",494,501.96,2.23,1
273,"baraja",542,493.70,3.68,1
274,"baranda",642,565.16,5.52,1
275,"barba",523,507.43,2.32,1
276,"barbarie",615,574.73,5.84,1
277,"barco",495,486.45,2.09,1
278,"barniz",578,511.28,4.72,1
279,"barra",488,495.06,3.40,1
280,"barranco",543,521.00,4.20,1
281,"barrer",546,508.51,3.08,1
282,"barrio",521,513.89,3.76,1
283,"barro",518,477.21,2.44,1
284,"barroco",537,525.49,5.76,3
285,"base",518,501.72,3.91,1
286,"basílica",614,560.87,5.60,1
287,"bastardo",614,554.23,5.68,1
288,"bastón",530,489.26,2.71,1
289,"bata",547,506.39,2.80,1
290,"batir",552,492.74,3.64,2
291,"baúl",505,499.77,3.09,1
292,"bayeta",600,520.70,4.20,1
293,"beata",667,533.10,5.84,1
294,"beatitud",489,584.37,6.23,1
295,"bebé",482,478.52,1.82,1
296,"beber",482,475.94,1.56,1
297,"bedel",692,530.88,5.80,1
298,"belén",511,483.59,2.50,1
299,"beneficio",540,537.69,5.48,1
300,"besar",500,485.90,2.20,1
301,"beso",494,490.76,2.12,1
302,"bestia",550,505.73,3.44,1
303,"biblia",583,531.22,3.62,1
304,"biblioteca",554,544.87,3.55,1
305,"bíceps",598,585.67,5.52,1
306,"bicho",507,515.02,2.12,1
307,"bicicleta",511,513.74,2.11,1
308,"bien",478,496.62,1.68,1
309,"bigote",546,494.22,2.35,1
310,"bingo",608,518.13,4.28,1
311,"biografía",534,538.02,5.08,1
312,"blanco",489,498.04,1.96,3
313,"blasfemia",687,591.28,5.91,1
314,"bloque",533,489.55,3.81,1
315,"blusa",582,508.54,2.69,1
316,"bobina",577,510.67,6.12,1
317,"boca",479,488.40,1.52,1
318,"bocado",575,522.92,3.56,1
319,"bocanada",709,592.47,5.20,1
320,"bochorno",643,563.35,5.96,1
321,"bocina",625,512.88,3.70,1
322,"bodega",539,515.48,4.40,1
323,"boina",633,508.21,3.44,1
324,"bola",550,501.04,2.24,1
325,"bolsa",483,485.70,2.82,1
326,"bolso",528,483.55,2.39,1
327,"bomba",495,525.07,3.52,1
328,"bonanza",615,559.98,5.40,1
329,"bondad",563,513.63,3.89,1
330,"borde",521,492.19,4.00,1
331,"borrachera",589,552.02,5.00,1
332,"borracho",520,515.70,3.96,1
333,"bosque",496,498.84,2.20,1
334,"bota",526,478.90,1.92,1
335,"botánico",560,552.42,5.72,3
336,"botella",511,505.66,2.01,1
337,"bóveda",587,546.11,5.80,1
338,"brasa",560,496.48,4.00,1
339,"brazo",519,492.36,1.43,1
340,"brecha",606,514.21,4.36,1
341,"brevedad",580,558.25,4.63,1
342,"brisa",532,493.28,4.16,1
343,"broche",555,498.77,4.36,1
344,"broma",508,480.90,3.20,1
345,"bronca",515,495.02,3.20,1
346,"bronce",524,506.65,4.84,1
347,"brotar",610,494.33,5.00,1
348,"bruja",496,486.85,2.06,1
349,"brujo",515,492.62,3.40,1
350,"bruma",582,525.40,5.04,1
351,"buey",518,528.22,2.62,1
352,"búfalo",571,532.16,3.94,1
353,"bufanda",578,557.93,2.28,1
354,"búho",557,535.15,2.69,1
355,"bulto",594,514.63,3.96,1
356,"buque",599,517.38,4.69,1
357,"burdel",651,535.88,6.00,1
358,"burla",546,507.12,3.60,1
359,"burlón",581,516.96,4.40,1
360,"buscar",480,469.94,2.28,2
361,"busto",561,505.37,5.40,1
362,"butaca",542,509.19,4.68,1
363,"butifarra",714,596.67,5.52,1
364,"buzón",508,473.08,2.96,1
365,"cabalgata",592,552.45,2.56,1
366,"caballero",503,485.63,3.17,1
367,"caballo",485,504.69,1.67,1
368,"cabaña",532,506.90,3.44,1
369,"cabeza",488,484.15,1.92,1
370,"cable",536,500.87,3.12,1
371,"cabo",556,484.65,5.00,1
372,"cabra",530,484.69,2.52,1
373,"cachorro",518,544.08,3.04,1
374,"cactus",620,521.15,3.83,1
375,"cadáver",520,536.00,4.64,1
376,"cadena",547,510.19,2.73,1
377,"cadencia",586,569.11,6.40,1
378,"cadera",521,510.15,4.00,1
379,"caer",534,488.92,2.48,2
380,"café",500,464.94,2.81,1
381,"caja",499,465.58,1.79,1
382,"cal",502,480.70,6.00,1
383,"calabozo",617,555.02,4.32,1
384,"calamidad",611,543.89,5.24,1
385,"calavera",559,526.17,3.80,1
386,"cálculo",507,535.92,3.63,1
387,"caldo",556,502.36,3.20,1
388,"calendario",513,541.96,2.91,1
389,"calentar",501,529.85,2.92,1
390,"calidad",512,484.91,4.92,1
391,"calificar",579,546.08,4.40,1
392,"cáliz",510,524.86,4.34,1
393,"callar",525,474.73,1.96,2
394,"calle",491,493.27,2.28,1
395,"callo",544,502.26,4.64,1
396,"calor",491,470.94,2.48,1
397,"calvario",580,542.56,5.56,1
398,"calvo",509,482.75,2.76,3
399,"cama",477,480.53,1.31,1
400,"cámara",502,495.72,3.56,1
401,"camarero",527,523.94,2.43,1
402,"camino",508,493.32,2.32,1
403,"camión",528,485.60,2.27,1
404,"camisa",485,492.88,2.65,1
405,"campana",520,522.48,1.87,1
406,"campaña",518,518.17,5.08,1
