id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,dominancia_m,dominancia_sd,word,categoria_palabra
59,"ansioso",3.63,2.32,7.70,1.58,3.14,2.04,"anxious",1
60,"aplastado",2.28,1.53,5.59,2.55,3.21,1.87,"crushed",1
61,"aplausos",7.67,1.49,7.39,1.58,6.36,2.47,"applause",1
62,"aprender",7.13,1.40,6.00,2.17,6.33,1.90,"learn",1
63,"aprobación",7.11,1.76,5.94,2.24,5.81,2.14,"acceptance",1
64,"apuros",2.61,1.44,6.86,1.81,3.68,2.15,"hardship",1
65,"araña",3.07,2.07,6.40,1.89,4.02,2.14,"spider",1
66,"árbol",6.53,1.68,4.18,2.01,5.07,2.01,"tree",1
67,"arcoíris",7.39,1.58,4.81,2.53,3.73,2.40,"rainbow",1
68,"arma",1.81,1.33,6.26,2.44,2.90,2.19,"weapon",1
69,"armario",5.10,1.35,4.31,1.57,5.16,1.59,"cabinet",1
70,"arrepentido",4.50,2.39,5.14,2.15,4.93,2.25,"repentant",1
71,"arrogante",2.07,1.17,5.83,1.83,4.14,1.80,"arrogant",1
72,"arte",7.09,1.59,5.31,2.20,4.92,1.80,"art",1
73,"as",6.41,2.21,5.51,2.28,5.17,2.27,"ace",1
74,"ascensor",4.99,1.80,4.71,1.63,4.73,1.90,"elevator",1
75,"asediado",2.40,1.42,6.18,1.79,3.51,1.92,"embattled",1
76,"asesinar",1.18,0.55,7.44,2.15,2.72,2.46,"assassin",1
77,"asesino",1.23,0.52,7.49,2.13,2.16,1.86,"killer",1
78,"asiento",5.70,1.49,4.00,1.79,5.77,1.74,"seat",1
79,"asombrado",5.52,1.82,5.96,1.72,4.26,1.83,"astonished",1
80,"áspero",3.27,1.81,4.53,1.79,4.39,2.14,"rough",1
81,"asqueado",1.81,1.24,5.58,2.32,4.32,2.19,"disgusted",1
82,"asqueroso",1.86,1.12,6.13,1.87,4.12,1.89,"nasty",1
83,"astronauta",5.67,1.48,5.38,1.73,3.93,1.78,"astronaut",1
84,"asustado",2.54,1.54,6.56,2.26,3.12,1.90,"scared",1
85,"ataúd",1.63,1.28,6.06,2.49,2.81,2.14,"coffin",1
86,"aterrorizado",1.96,1.41,6.79,2.55,2.64,2.25,"terrified",1
87,"ático",6.74,1.56,5.00,2.17,4.99,2.23,"penthouse",1
88,"atracador",2.02,1.62,7.32,1.83,2.34,1.58,"robber",1
89,"atrevido",6.51,1.81,6.71,1.76,5.38,2.07,"bold",1
90,"atrocidad",1.74,1.27,6.68,1.72,3.22,2.10,"outrage",1
91,"aurora",7.29,1.66,4.92,2.38,4.87,2.43,"daylight",1
92,"autobús",4.51,1.49,5.00,2.00,4.43,1.97,"bus",1
93,"avalancha",2.46,1.37,7.20,1.71,2.48,1.59,"avalanche",1
94,"avaricia",2.44,1.79,5.54,1.94,4.14,1.88,"greed",1
95,"avenida",4.86,1.70,5.01,1.92,4.16,2.02,"avenue",1
96,"aventura",7.76,1.26,7.62,1.55,5.48,2.65,"adventure",1
97,"avergonzado",2.51,1.50,5.59,2.19,3.44,1.91,"shamed",1
98,"avión",6.13,1.94,6.07,1.90,4.96,2.36,"plane",1
99,"avispa",2.54,1.86,7.01,2.00,3.12,2.10,"wasp",1
100,"azúcar",6.68,1.87,5.59,1.92,5.67,2.02,"sugar",1
101,"azul",7.01,1.95,3.99,2.25,5.39,1.98,"blue",1
102,"bailarín",7.14,1.77,6.52,2.29,5.43,2.38,"dancer",1
103,"bala",2.01,1.50,7.18,1.83,3.59,2.50,"bullet",1
104,"bancarrota",1.63,1.09,6.11,2.61,2.69,1.95,"bankrupt",1
105,"banco",5.14,1.83,4.38,1.83,5.09,1.95,"bench",1
106,"bandera",4.92,1.80,4.36,1.92,5.04,1.85,"flag",1
107,"bañera",6.76,1.69,3.66,2.10,5.94,1.97,"bathtub",1
108,"baño",7.21,1.52,4.08,2.55,6.59,2.09,"bath",1
109,"bar",6.53,1.74,6.02,1.56,5.32,2.00,"bar",1
110,"barco",6.00,1.79,5.08,1.97,5.02,1.99,"ship",1
111,"barril",4.73,1.71,4.12,1.85,4.90,1.95,"barrel",1
112,"bastardo",2.89,1.65,5.30,1.79,4.20,2.06,"bastard",1
113,"basto",3.07,1.82,4.57,2.05,4.66,1.96,"coarse",1
114,"bastón",3.83,1.78,4.09,2.05,5.19,2.31,"cane",1
115,"basura",2.06,1.50,4.31,2.15,4.42,2.24,"trash",1
116,"bebé",7.60,1.88,5.54,2.35,5.31,2.21,"baby",1
117,"bebida",6.26,1.95,5.62,2.32,5.39,2.41,"beverage",1
118,"belleza",7.47,1.54,5.76,2.10,5.13,2.07,"beauty",1
119,"bendecir",5.70,2.24,4.37,2.15,4.80,2.64,"bless",1
120,"beso",8.43,1.06,7.71,1.64,6.16,2.45,"kiss",1
121,"bestia",2.80,2.05,6.88,1.91,2.87,2.01,"beast",1
122,"blanco",6.10,1.68,3.99,2.23,5.50,1.95,"white",1
123,"blasfemia",2.79,1.73,5.57,1.90,4.40,2.01,"blasphemy",1
124,"boda",6.87,1.78,5.91,1.99,5.64,2.06,"wedding",1
125,"bodega",5.23,1.80,4.54,1.91,5.18,1.80,"cellar",1
126,"bofetada",2.06,1.59,7.16,1.69,4.67,2.54,"slap",1
127,"bomba",1.42,1.02,7.79,1.87,2.22,2.25,"bomb",1
128,"bombilla",5.29,1.16,4.59,1.84,5.81,1.75,"lightbulb",1
129,"botella",5.10,1.49,4.68,1.85,5.44,1.87,"bottle",1
130,"boxeador",3.62,1.86,5.02,2.18,3.90,1.99,"boxer",1
131,"brazo",5.37,1.17,4.83,1.70,5.58,1.69,"arm",1
