id,palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabradecimal
1477,"montón","heap",1.72,1.19,1.34,0.61,1.52,0.83,1.59,0.98,1.52,0.83,1
1478,"monumento","monument",2.57,1.17,1.17,0.46,1.40,0.72,1.33,0.76,1.10,0.40,1
1479,"moño","bun",2.00,1.29,1.00,0.00,1.07,0.25,1.00,0.00,1.07,0.25,1
1480,"mora","arrears",2.43,1.61,1.17,0.75,1.10,0.31,1.03,0.18,1.30,0.84,1
1481,"moral","moral",2.90,1.42,1.40,0.77,1.60,0.97,1.53,1.07,1.27,0.69,1
1482,"morboso","morbid",2.50,1.48,1.83,1.32,1.47,1.11,1.63,1.22,2.07,1.28,3
1483,"mordisco","bite",1.73,1.14,2.60,1.33,1.57,0.97,2.33,1.18,2.10,1.03,1
1484,"morena","brunette",2.27,1.48,1.23,0.57,1.33,0.88,1.43,1.01,1.53,1.07,1
1485,"morgue","morgue",1.10,0.44,2.14,1.49,4.24,1.26,3.10,1.48,3.10,1.51,1
1486,"moribundo","dying",1.17,0.65,2.17,1.44,3.83,1.09,3.07,1.36,1.97,1.22,1
1487,"morsa","walrus",2.60,1.33,1.23,0.73,1.27,0.58,1.80,0.96,1.50,0.82,1
1488,"mosca","fly",1.07,0.37,2.30,1.49,1.07,0.37,1.23,0.68,2.93,1.20,1
1489,"mosquito","mosquito",1.17,0.53,2.60,1.61,1.37,0.93,1.87,1.14,3.13,1.61,1
1490,"motivo","reason",2.00,1.34,1.47,0.86,1.70,1.09,1.97,1.25,1.13,0.43,1
1491,"moto","bike",2.97,1.45,1.73,1.31,1.87,1.41,2.23,1.10,1.33,0.84,1
1492,"motor","engine",1.50,1.14,1.27,0.69,1.13,0.57,1.33,0.76,1.00,0.00,1
1493,"motosierra","chainsaw",1.17,0.59,2.80,1.27,1.60,1.00,3.43,1.10,1.53,0.73,1
1494,"móvil","mobile",2.77,1.36,1.90,1.12,1.90,1.30,1.73,1.17,1.63,1.07,1
1495,"movilidad","mobility",3.50,1.61,1.20,0.61,1.20,0.55,1.37,0.72,1.03,0.18,1
1496,"movimiento","movement",2.83,1.51,1.40,0.72,1.33,0.71,1.83,1.29,1.47,0.97,1
1497,"mucosidad","mucus",1.00,0.00,1.30,0.70,1.37,0.76,1.10,0.31,3.57,1.22,1
1498,"mudo","mute",1.13,0.43,1.23,0.82,3.47,1.25,1.23,0.63,1.17,0.53,3
1499,"mueca","grin",1.93,1.11,1.70,0.84,1.70,0.79,1.73,0.87,1.97,1.19,1
1500,"muelle","spring",1.67,0.92,1.07,0.25,1.27,0.52,1.17,0.46,1.13,0.57,1
1501,"muerte","death",1.00,0.00,2.87,1.55,4.67,0.76,4.20,1.19,1.83,1.37,1
1502,"muerto","dead",1.00,0.00,2.27,1.36,4.53,0.97,3.53,1.53,2.17,1.42,1
1503,"muestra","sample",1.37,0.72,1.13,0.43,1.10,0.40,1.20,0.48,1.33,0.71,1
1504,"mugre","grime",1.03,0.18,1.87,1.14,1.80,1.10,1.70,1.02,4.43,0.73,1
1505,"mujer","woman",3.23,1.68,1.30,0.84,1.43,0.90,1.30,0.84,1.20,0.66,1
1506,"muleta","crutch",1.20,0.61,1.77,1.07,2.13,1.25,1.77,1.01,1.33,0.84,1
1507,"multa","penalty",1.00,0.00,4.07,1.11,3.17,1.46,2.70,1.37,2.27,1.57,1
1508,"mundo","world",3.60,1.19,1.97,0.96,2.47,1.17,2.20,1.16,1.97,1.07,1
1509,"municipio","municipality",1.67,1.03,1.07,0.25,1.20,0.48,1.07,0.25,1.03,0.18,1
1510,"muñeca","doll",2.93,1.34,1.20,0.66,1.30,0.84,1.53,1.01,1.13,0.57,1
1511,"murciélago","bat",1.47,0.82,1.27,0.58,1.20,0.66,2.77,1.33,2.97,1.43,1
1512,"músculo","muscle",2.07,1.34,1.50,0.97,1.27,0.64,1.43,0.77,1.77,1.07,1
1513,"musculoso","muscular",1.93,1.25,1.17,0.38,1.10,0.41,1.48,0.91,1.69,0.89,1
1514,"museo","museum",3.10,1.18,1.13,0.43,1.37,0.76,1.23,0.57,1.17,0.46,1
1515,"música","music",4.83,0.38,1.33,1.03,2.83,1.64,1.47,1.04,1.20,0.81,1
1516,"músico","musician",3.93,1.17,1.27,0.91,1.70,1.12,1.03,0.18,1.00,0.00,1
1517,"mutación","mutation",1.27,0.69,1.57,0.94,2.10,1.27,2.70,1.21,1.77,1.10,1
1518,"mutilación","mutilation",1.00,0.00,4.03,1.16,3.83,1.34,4.10,1.24,4.17,1.15,1
1519,"mutilar","mutilate",1.00,0.00,3.57,1.50,3.83,1.37,4.23,1.22,3.93,1.26,2
1520,"nacimiento","birth",4.17,1.15,1.07,0.37,1.17,0.65,1.67,0.88,1.23,0.50,1
1521,"nación","nation",2.73,1.41,1.37,0.67,1.67,1.21,1.60,0.97,1.43,0.73,1
1522,"nadador","swimmer",2.37,1.27,1.03,0.18,1.03,0.18,1.20,0.61,1.00,0.00,1
1523,"nadadora","swimmer",2.97,1.27,1.23,0.68,1.33,0.80,1.60,1.13,1.13,0.43,1
1524,"narcótico","narcotic",1.20,0.61,1.90,1.35,2.57,1.48,3.10,1.47,2.17,1.34,1
1525,"natural","natural",2.93,1.51,1.10,0.55,1.07,0.25,1.13,0.57,1.10,0.40,1
1526,"naturaleza","nature",4.13,0.94,1.20,0.55,1.70,0.95,2.03,1.16,1.27,0.58,1
1527,"naufragio","shipwreck",1.20,0.66,2.30,1.21,3.67,0.84,3.70,0.88,1.53,0.97,1
1528,"navaja","knife",1.20,0.48,2.33,1.37,1.73,1.20,3.60,1.30,1.57,0.97,1
1529,"navajero","navajero",1.04,0.19,1.79,1.03,1.43,0.69,2.71,1.08,1.25,0.52,1
1530,"navidad","christmas",4.23,0.86,1.27,0.64,1.63,0.89,1.20,0.55,1.13,0.51,1
1531,"necesitar","need",1.60,0.97,1.93,1.14,3.00,0.98,2.57,1.25,1.17,0.46,2
1532,"néctar","nectar",2.17,1.15,1.00,0.00,1.03,0.18,1.03,0.18,1.00,0.00,1
1533,"negligencia","neglect",1.03,0.19,3.03,1.35,2.83,1.34,2.72,1.51,1.97,1.21,1
1534,"negro","black",1.37,0.89,1.67,1.30,2.30,1.32,2.33,1.58,1.20,0.61,3
1535,"nene","infant",3.27,1.60,1.13,0.43,1.03,0.18,1.33,0.92,1.20,0.61,1
1536,"nervio","nerve",1.27,0.58,2.00,1.11,1.47,0.94,2.13,1.17,1.73,1.14,1
1537,"nervioso","nervous",1.70,1.15,2.37,1.30,2.50,1.20,3.13,1.53,1.67,1.12,1
1538,"neurótico","neurotic",1.10,0.31,2.37,1.38,2.67,1.24,3.30,0.88,1.63,0.96,1
1539,"nevera","icebox",2.17,1.42,1.17,0.53,1.30,0.65,1.23,0.63,1.27,0.64,1
1540,"niebla","fog",1.37,1.07,1.27,0.52,2.47,1.20,2.53,1.11,1.17,0.59,1
1541,"nieta","granddaughter",3.53,1.31,1.23,0.73,1.67,0.88,1.57,0.97,1.07,0.37,1
1542,"nieto","grandson",4.23,1.07,1.17,0.53,1.60,1.13,1.37,1.07,1.10,0.40,1
1543,"nieve","snow",4.20,1.00,1.03,0.18,1.27,0.78,1.60,0.93,1.00,0.00,1
1544,"niña","girl",3.37,1.38,1.30,0.84,1.43,0.73,1.47,0.82,1.07,0.25,1
1545,"niño","child",4.20,0.96,1.23,0.50,1.13,0.35,1.53,0.90,1.07,0.25,1
1546,"nitrógeno","nitrogen",1.33,0.61,1.13,0.43,1.13,0.43,1.63,1.07,1.37,0.93,1
1547,"noción","notion",1.67,0.84,1.20,0.66,1.23,0.77,1.30,0.84,1.03,0.18,1
1548,"nombre","name",1.33,0.71,1.10,0.40,1.17,0.53,1.07,0.37,1.07,0.37,1
1549,"notario","notary",1.27,0.69,1.43,0.82,1.53,1.01,1.37,0.76,1.33,0.92,1
1550,"noticias","news",2.40,1.19,2.63,1.27,2.97,1.22,2.50,1.22,1.93,1.08,1
1551,"novedad","novelty",3.47,0.82,1.27,0.58,1.40,0.67,2.20,0.85,1.23,0.50,1
1552,"novela","novel",3.13,1.20,1.70,0.99,2.57,1.30,1.63,1.03,1.33,0.92,1
1553,"novia","bride",3.90,1.03,1.53,0.86,1.63,0.96,2.10,1.12,1.20,0.55,1
1554,"novio","sweetheart",4.13,1.20,1.60,1.10,1.93,1.14,2.23,1.22,1.23,0.43,1
1555,"nubes","clouds",2.37,1.35,1.00,0.00,1.47,0.86,1.30,0.75,1.07,0.37,1
1556,"nublado","overcast",1.23,0.43,1.63,0.85,3.30,1.12,1.87,1.28,1.63,1.16,1
1557,"nuclear","nuclear",1.27,0.69,2.93,1.28,3.17,1.26,3.97,1.07,2.80,1.32,1
1558,"nudo","knot",1.23,0.57,1.27,0.64,1.53,0.78,1.40,0.86,1.23,0.57,1
1559,"nutria","otter",2.80,1.45,1.13,0.51,1.30,0.65,1.53,0.78,1.47,0.86,1
1560,"nutrir","nourish",2.90,1.45,1.13,0.43,1.27,0.78,1.17,0.46,1.33,0.61,2
1561,"obedecer","obey",1.33,0.61,2.33,1.15,2.30,1.18,2.10,1.12,2.00,1.26,2
1562,"obesidad","obesity",1.10,0.31,1.97,1.27,3.20,1.30,2.20,1.52,2.17,1.39,1
1563,"obispo","bishop",1.27,0.69,2.50,1.43,2.07,1.48,2.00,1.34,2.73,1.44,1
1564,"obsceno","obscene",1.23,0.68,2.03,1.33,1.70,1.18,1.67,0.99,3.13,1.22,1
1565,"obsequio","gift",4.20,0.85,1.17,0.46,1.23,0.50,1.40,0.56,1.20,0.48,1
1566,"obsesión","obsession",1.17,0.53,2.07,1.14,2.20,1.37,2.93,1.26,1.50,0.97,1
1567,"oca","goose",2.27,1.28,1.43,0.77,1.37,0.76,2.13,1.17,1.83,1.02,1
1568,"ocaso","sunset",2.82,1.36,1.07,0.38,2.18,0.90,1.57,1.03,1.14,0.52,1
1569,"océano","ocean",3.67,1.21,1.10,0.40,1.30,0.53,2.80,1.24,1.07,0.25,1
1570,"odiar","hate",1.03,0.18,4.07,1.17,2.80,1.19,2.27,1.20,2.20,1.30,2
1571,"odio","hatred",1.03,0.18,4.10,1.21,3.63,1.40,3.30,1.49,3.13,1.55,1
1572,"ofender","offend",1.07,0.25,3.37,1.16,3.00,1.31,2.50,1.38,2.57,1.25,2
1573,"oficina","office",1.60,1.00,1.33,0.61,1.93,1.20,1.40,0.62,1.37,0.61,1
1574,"olla","kettle",1.62,1.24,1.10,0.41,1.14,0.44,1.31,0.97,1.10,0.41,1
1575,"ombligo","belly button",1.50,0.82,1.00,0.00,1.03,0.18,1.17,0.53,1.77,1.01,1
1576,"opción","option",2.07,1.44,1.13,0.73,1.13,0.73,1.50,1.11,1.13,0.73,1
1577,"opinión","opinion",2.37,1.50,1.53,0.97,1.37,0.93,1.60,1.10,1.27,0.83,1
1578,"opio","opium",1.66,1.20,1.76,1.09,2.03,1.40,2.03,1.15,2.59,1.59,1
1579,"oportunidad","chance",4.13,1.01,1.07,0.25,1.23,0.68,2.20,1.32,1.00,0.00,1
1580,"oposición","opposition",1.63,1.13,1.73,0.87,1.43,0.90,2.07,1.08,1.50,0.90,1
1581,"optimismo","optimism",4.33,0.96,1.10,0.31,1.27,0.91,1.27,0.69,1.00,0.00,1
1582,"oración","prayer",1.60,0.89,1.17,0.46,1.77,1.07,1.30,0.70,1.07,0.25,1
1583,"orangután","orangutan",2.50,1.50,1.20,0.48,1.30,0.65,1.67,1.09,1.07,0.25,1
1584,"ordenado","tidy",3.10,1.24,1.23,0.57,1.13,0.43,1.13,0.43,1.13,0.51,1
1585,"ordenador","computer",2.47,1.50,1.33,0.71,1.10,0.31,1.23,0.57,1.03,0.18,1
1586,"orfanato","orphanage",1.20,0.55,2.07,1.36,4.27,1.14,2.90,1.30,1.57,1.04,1
1587,"órgano","organ",1.63,0.72,1.33,0.71,1.57,0.77,2.10,1.21,2.57,1.30,1
1588,"orgasmo","orgasm",4.70,0.53,1.13,0.35,1.20,0.61,1.13,0.43,1.13,0.35,1
1589,"orgullo","pride",2.20,1.27,2.50,1.22,2.30,1.32,1.80,1.06,1.80,1.10,1
1590,"orgulloso","proud",3.07,1.66,1.90,1.12,1.53,0.97,1.33,0.96,1.27,0.58,1
1591,"orina","urine",1.10,0.31,1.10,0.55,1.10,0.40,1.17,0.53,3.30,1.21,1
1592,"oro","gold",3.20,1.24,1.23,0.63,1.30,0.60,1.50,0.94,1.10,0.40,1
1593,"orquesta","orchestra",3.20,1.03,1.20,0.55,1.47,1.01,1.37,0.93,1.10,0.40,1
1594,"oscuro","dark",1.13,0.43,2.40,1.43,3.20,1.58,3.83,1.23,1.53,1.07,3
1595,"oso","bear",2.60,1.16,1.30,0.75,1.30,0.70,3.33,0.96,1.23,0.63,1
1596,"ostra","oyster",1.37,0.85,1.03,0.18,1.13,0.43,1.33,0.92,2.63,1.43,1
1597,"otoño","autumn",2.20,1.24,1.03,0.18,2.60,1.22,1.10,0.31,1.23,0.57,1
1598,"oveja","sheep",2.27,1.31,1.03,0.18,1.07,0.25,1.17,0.75,1.13,0.43,1
1599,"oxidado","rusty",1.10,0.40,1.40,0.77,1.60,1.10,1.47,0.97,2.30,1.26,1
1600,"paciente","patient",2.07,1.14,1.37,0.76,1.93,1.23,1.80,1.16,1.33,0.76,1
1601,"pacto","pact",2.30,1.21,1.80,1.32,1.67,1.18,2.20,1.19,1.47,1.01,1
1602,"padre","father",3.57,1.61,1.40,0.97,1.57,1.25,1.27,0.83,1.10,0.55,1
1603,"página","page",1.53,1.04,1.13,0.43,1.43,0.77,1.13,0.57,1.13,0.51,1
1604,"pájaro","bird",3.30,1.21,1.13,0.43,1.33,0.66,1.37,0.61,1.33,0.84,1
1605,"pala","shovel",1.40,0.81,1.10,0.40,1.27,0.69,1.23,0.68,1.20,0.66,1
1606,"palacio","palace",3.03,1.00,1.20,0.55,1.23,0.43,1.10,0.31,1.17,0.46,1
1607,"palma","palm",1.80,1.19,1.67,1.21,1.47,0.86,1.57,0.97,1.33,0.76,1
1608,"palo","stick",1.47,0.97,1.50,0.94,1.13,0.43,1.40,0.97,1.23,0.57,1
1609,"paloma","dove",2.00,1.26,1.53,0.97,1.20,0.55,1.73,1.26,2.43,1.45,1
1610,"pamela","pamela",2.10,1.11,1.00,0.00,1.03,0.19,1.03,0.19,1.03,0.19,1
1611,"panadera","baker",2.50,1.07,1.27,0.64,1.47,0.90,1.30,0.95,1.33,0.80,1
1612,"panadero","baker",2.70,1.21,1.10,0.40,1.20,0.66,1.07,0.37,1.07,0.37,3
1613,"pancarta","banner",1.73,1.31,1.60,1.04,1.50,1.11,1.33,0.76,1.20,0.66,1
1614,"pánico","panic",1.03,0.18,2.37,1.43,2.73,1.36,4.80,0.41,1.60,1.10,1
1615,"pantano","swamp",1.47,0.90,1.03,0.18,1.33,0.80,1.93,1.28,1.67,1.09,1
1616,"pantera","panther",2.43,1.28,1.23,0.50,1.17,0.65,3.67,1.12,1.17,0.53,1
1617,"pañuelo","kerchief",1.77,1.17,1.03,0.18,1.50,0.94,1.07,0.37,1.77,1.17,1
1618,"papa","pope",2.80,1.65,2.00,1.36,1.83,1.23,1.33,0.92,1.87,1.33,1
1619,"papagayo","parrot",2.93,1.11,1.07,0.37,1.30,0.84,1.43,0.63,1.10,0.31,1
1620,"papel","paper",1.80,1.06,1.13,0.35,1.30,0.75,1.10,0.40,1.17,0.59,1
1621,"paracaídas","parachute",3.03,1.59,1.37,1.00,1.20,0.61,3.63,1.30,1.17,0.65,1
1622,"paraguas","umbrella",1.90,1.12,1.50,1.01,2.17,1.44,1.37,0.76,1.43,1.01,1
1623,"paraíso","paradise",4.60,0.97,1.03,0.18,1.07,0.25,1.57,1.04,1.00,0.00,1
1624,"parálisis","paralysis",1.10,0.40,2.40,1.43,3.63,1.27,3.47,1.38,1.13,0.43,1
1625,"parchís","parchesi",3.27,1.11,1.13,0.51,1.17,0.38,1.00,0.00,1.07,0.37,1
1626,"pared","wall",1.53,1.17,1.53,1.14,1.43,0.82,1.53,1.04,1.10,0.55,1
1627,"pareja","couple",4.33,0.84,1.30,0.60,1.67,1.03,1.90,1.09,1.20,0.55,1
1628,"parque","park",3.77,1.10,1.00,0.00,1.20,0.48,1.30,0.65,1.13,0.35,1
1629,"párrafo","paragraph",1.33,0.66,1.03,0.18,1.07,0.25,1.20,0.55,1.10,0.40,1
1630,"parte","part",1.33,0.80,1.33,0.84,1.50,0.90,1.43,0.97,1.23,0.57,1
1631,"partera","midwife",2.29,1.05,1.18,0.39,1.24,0.56,1.71,0.99,2.00,1.12,1
1632,"parto","delivery",3.70,1.37,1.27,0.52,1.17,0.46,3.40,1.22,2.23,1.33,1
1633,"pasado","past",3.17,1.34,1.80,1.19,3.13,1.31,1.67,0.96,1.53,0.94,3
1634,"pasaje","passage",1.90,1.32,1.17,0.46,1.37,0.85,1.70,1.06,1.30,0.88,1
1635,"pase","pass",1.83,1.32,1.23,0.63,1.17,0.53,1.47,1.01,1.13,0.51,1
1636,"pasillo","corridor",1.17,0.38,1.17,0.54,1.28,0.65,1.86,1.19,1.10,0.41,1
1637,"pasión","passion",4.00,1.23,1.30,0.84,1.23,0.57,1.40,0.81,1.20,0.55,1
1638,"pasividad","passivity",1.31,0.66,2.24,1.09,2.52,1.12,1.69,1.04,1.72,1.03,1
1639,"pasta","pasta",3.70,1.32,1.17,0.46,1.13,0.51,1.07,0.37,1.23,0.57,1
1640,"pastel","pie",4.00,1.14,1.07,0.25,1.17,0.46,1.07,0.25,1.40,0.72,1
1641,"pastelero","baker",3.70,1.06,1.03,0.18,1.07,0.25,1.03,0.18,1.07,0.25,1
1642,"pastor","pastor",2.63,1.25,1.40,0.86,1.57,0.77,1.50,0.82,1.43,0.94,1
1643,"pata","leg",1.24,0.69,1.10,0.41,1.10,0.41,1.24,0.58,1.38,0.68,1
1644,"patente","patent",2.12,1.30,1.44,0.77,1.48,0.87,1.64,0.91,1.32,0.80,1
1645,"patera","dinghy",1.00,0.00,1.97,1.47,4.03,1.22,1.73,1.28,1.47,1.14,1
1646,"patinadora","skater",3.00,1.17,1.00,0.00,1.10,0.31,1.27,0.58,1.00,0.00,1
1647,"patinete","scooter",3.07,1.44,1.27,0.64,1.27,0.69,1.83,1.21,1.17,0.46,1
1648,"pato","duck",2.80,1.35,1.00,0.00,1.20,0.61,1.43,0.86,1.37,0.81,3
1649,"patriota","patriot",1.73,1.17,2.00,1.26,1.50,0.82,1.80,1.19,1.80,1.24,1
1650,"patrón","pattern",1.63,0.96,1.27,0.64,1.27,0.78,1.50,0.82,1.33,0.84,1
1651,"patronato","patronage",1.91,1.31,1.35,0.65,1.17,0.49,1.43,0.84,1.35,0.83,1
1652,"pausa","pause",2.03,1.13,1.97,1.40,1.83,1.15,2.13,1.28,1.17,0.38,1
1653,"pausado","leisurely",1.43,0.86,1.70,1.09,1.47,0.78,1.17,0.46,1.17,0.53,1
1654,"pavimento","pavement",1.10,0.41,1.10,0.41,1.10,0.41,1.10,0.41,1.14,0.44,1
1655,"pavo","turkey",2.03,1.07,1.07,0.25,1.17,0.46,1.60,1.00,1.50,1.01,1
1656,"payaso","clown",3.47,1.33,1.17,0.46,1.30,0.65,2.10,1.16,1.23,0.57,1
1657,"paz","peace",4.40,0.93,1.13,0.43,1.20,0.48,1.23,0.50,1.00,0.00,1
1658,"peca","sins",1.41,0.73,1.21,0.56,1.17,0.47,1.41,0.91,1.55,0.74,1
1659,"pecado","sin",2.13,1.43,2.17,1.34,2.10,1.32,1.93,1.34,1.80,1.13,1
1660,"pecaminoso","sinful",1.42,0.78,1.58,0.97,1.54,0.88,1.50,0.78,1.63,0.92,1
1661,"pecar","sin",1.53,1.07,1.83,1.15,1.93,1.28,2.10,1.12,1.37,0.81,2
1662,"pedante","pedant",1.14,0.35,3.66,0.81,1.97,0.94,1.28,0.59,3.41,1.38,1
1663,"pedazo","piece",1.69,1.04,1.41,0.87,1.62,1.05,1.28,0.65,1.59,0.95,1
1664,"pediatra","pediatrician",2.40,1.25,1.27,0.83,1.30,0.88,2.00,1.29,1.13,0.43,1
1665,"pedófilo","pedophile",1.00,0.00,4.53,0.90,4.10,1.32,3.83,1.49,4.83,0.75,1
1666,"pegamento","glue",1.27,0.74,1.20,0.55,1.17,0.53,1.20,0.55,1.80,1.24,1
1667,"peinado","hairstyle",2.67,1.37,1.17,0.53,1.23,0.57,1.20,0.41,1.27,0.64,1
1668,"peine","comb",1.30,0.92,1.00,0.00,1.00,0.00,1.00,0.00,1.50,1.11,1
1669,"pelícano","pelican",2.40,1.19,1.03,0.18,1.03,0.18,1.27,0.69,1.17,0.46,1
1670,"película","movie",3.53,1.17,1.73,1.17,2.50,1.38,2.40,1.38,1.67,1.12,1
1671,"peligro","danger",1.10,0.40,1.77,1.07,1.90,1.30,4.20,0.96,1.37,0.96,1
1672,"pellizco","pinch",1.30,0.70,3.10,1.21,1.73,1.31,1.77,1.19,1.20,0.48,1
1673,"pelota","ball",3.20,1.30,1.20,0.66,1.07,0.25,1.30,0.65,1.03,0.18,1
1674,"peluca","wig",2.20,1.21,1.30,0.84,1.80,1.32,1.73,1.28,1.73,1.11,1
1675,"peluche","stuffed toy",3.80,1.27,1.17,0.46,1.73,1.08,1.23,0.50,1.10,0.40,1
1676,"peluquera","hairdresser",2.27,1.28,1.50,0.86,1.27,0.74,1.47,0.82,1.13,0.43,1
1677,"peluquero","hairdresser",2.30,1.15,1.47,0.97,1.20,0.66,1.77,1.25,1.20,0.55,1
1678,"pena","grief",1.00,0.00,1.90,1.27,4.50,0.78,2.57,1.52,1.63,1.25,1
1679,"pendiente","slope",1.87,1.01,1.40,0.81,1.40,0.81,1.70,0.92,1.37,0.61,1
1680,"pene","penis",2.67,1.54,1.13,0.51,1.07,0.37,1.33,0.96,1.40,0.89,1
1681,"penetración","penetration",2.53,1.43,1.27,0.78,1.17,0.75,1.67,1.15,1.63,1.03,1
1682,"penoso","embarrassed",1.03,0.18,1.73,1.14,3.73,1.17,1.57,1.25,1.83,1.12,1
1683,"pensamiento","thought",2.73,1.51,1.87,1.25,2.47,1.33,2.23,1.41,1.67,1.21,1
1684,"peón","workman",1.21,0.49,1.24,0.64,1.41,0.82,1.14,0.35,1.14,0.58,1
1685,"peonza","spinning top",2.55,1.35,1.00,0.00,1.03,0.19,1.03,0.19,1.00,0.00,1
1686,"perdedor","loser",1.07,0.37,2.73,1.44,3.57,1.43,2.23,1.45,1.73,1.41,1
1687,"perdición","perdition",1.40,1.00,2.53,1.28,3.60,1.25,3.63,1.33,1.83,1.09,1
1688,"perdido","lost",1.10,0.40,2.60,1.33,4.00,0.87,4.20,0.66,1.47,1.17,3
1689,"perdiz","partridge",1.93,1.41,1.13,0.73,1.20,0.61,1.17,0.75,1.13,0.43,1
1690,"perezoso","lazy",1.57,0.73,1.70,0.95,1.97,1.27,1.33,0.76,1.50,0.94,1
1691,"perfección","perfection",2.93,1.51,1.47,0.82,1.33,0.71,1.87,1.20,1.33,0.71,1
1692,"perfume","perfume",3.23,0.90,1.23,0.63,1.43,0.90,1.13,0.51,1.43,0.97,1
1693,"periódico","newspaper",2.23,1.22,1.70,0.99,1.80,1.06,1.63,0.85,1.43,0.73,3
1694,"periodista","journalist",1.77,1.07,1.93,1.11,1.60,0.93,1.23,0.68,1.57,0.97,1
1695,"periquito","parakeet",2.97,1.45,1.13,0.73,1.07,0.37,1.00,0.00,1.07,0.37,1
1696,"perro","dog",3.67,1.60,1.17,0.59,1.20,0.55,1.50,0.90,1.33,0.84,1
1697,"persecución","persecution",1.30,0.84,2.60,1.35,2.23,1.41,3.23,1.43,1.70,1.21,1
1698,"persona","person",2.77,1.57,1.77,1.41,2.00,1.46,1.97,1.45,1.97,1.40,1
1699,"perversión","perversion",1.24,0.79,3.21,1.29,2.83,1.56,3.24,1.46,3.62,1.45,1
1700,"perverso","evil",1.23,0.63,2.93,1.17,2.13,1.36,3.17,1.23,2.50,1.48,3
1701,"pervertido","pervert",1.10,0.31,4.13,1.17,2.90,1.47,3.73,1.34,4.37,0.93,1
1702,"pesar","bereavement",1.53,1.11,1.77,1.22,2.33,1.45,1.83,1.32,1.50,1.01,2
1703,"pesaroso","regretful",1.05,0.22,1.57,0.87,2.90,1.34,1.38,0.97,1.38,0.80,3
1704,"pescado","fish",2.10,1.32,1.13,0.51,1.27,0.69,1.10,0.40,1.97,1.10,1
1705,"pescador","fisherman",2.20,1.21,1.37,0.96,1.80,1.06,1.17,0.46,1.60,0.86,1
1706,"pesimismo","gloom",1.00,0.00,2.27,1.17,4.07,0.94,2.87,1.31,1.50,1.04,1
1707,"pesimista","pessimistic",1.20,0.81,2.80,1.61,4.20,1.03,3.17,1.51,2.20,1.61,1
1708,"peste","pest",1.07,0.25,2.00,1.29,2.20,1.45,2.60,1.43,4.17,0.87,1
1709,"petróleo","oil",1.43,0.94,1.97,1.22,2.03,1.35,2.40,1.45,2.80,1.24,1
1710,"pezón","nipple",2.32,1.36,1.00,0.00,1.00,0.00,1.00,0.00,1.18,0.55,1
1711,"piano","piano",3.63,1.19,1.03,0.18,2.10,1.12,1.17,0.65,1.03,0.18,1
1712,"picaresca","picaresque",2.59,1.30,1.17,0.47,1.03,0.19,1.14,0.35,1.14,0.58,1
1713,"piedra","stone",1.13,0.35,1.40,0.93,1.23,0.77,1.47,0.94,1.20,0.41,1
1714,"piel","fur",2.13,1.38,1.20,0.55,1.17,0.65,1.17,0.53,1.27,0.58,1
1715,"pieza","item",1.60,0.97,1.17,0.46,1.17,0.46,1.20,0.55,1.10,0.40,1
1716,"pijama","pajamas",2.93,1.39,1.00,0.00,1.13,0.35,1.00,0.00,1.00,0.00,1
1717,"pila","stack",1.47,0.82,1.50,0.97,1.17,0.46,1.40,0.89,1.57,1.01,1
1718,"piloto","pilot",2.33,1.15,1.10,0.31,1.23,0.57,2.03,1.16,1.13,0.43,1
1719,"pincel","brush",2.57,1.17,1.03,0.18,1.20,0.48,1.00,0.00,1.10,0.40,1
1720,"pinchazo","prick",1.10,0.40,2.60,1.57,2.30,1.37,3.23,1.45,2.87,1.74,1
1721,"pincho","spike",1.77,1.28,1.63,1.13,1.27,0.58,1.97,1.03,1.23,0.57,1
1722,"pingüino","penguin",3.47,1.43,1.07,0.37,1.30,0.53,1.53,0.82,1.23,0.57,1
1723,"pino","pine",2.50,1.36,1.00,0.00,1.17,0.65,1.20,0.55,1.03,0.18,1
1724,"pinta","pint",2.23,1.38,1.10,0.31,1.27,0.58,1.07,0.25,1.37,0.81,1
1725,"pintor","painter",2.57,1.36,1.03,0.18,1.47,1.01,1.13,0.43,1.10,0.40,1
1726,"pintora","painter",3.00,1.11,1.17,0.46,1.37,0.67,1.10,0.40,1.07,0.37,1
1727,"pintura","paint",2.97,1.59,1.70,1.32,1.73,1.39,1.50,1.22,1.33,0.92,1
1728,"pinza","clothes pin",1.23,0.63,1.13,0.51,1.13,0.51,1.13,0.43,1.10,0.40,1
1729,"piojo","louse",1.07,0.26,2.07,1.51,1.62,1.05,2.34,1.42,4.45,0.91,1
1730,"piojos","lice",1.03,0.18,2.17,1.49,1.70,1.15,2.47,1.57,4.10,1.18,1
1731,"pipa","pipe",2.23,1.07,1.13,0.43,1.10,0.40,1.03,0.18,1.23,0.63,1
1732,"pirata","pirate",2.03,1.30,1.70,0.99,1.30,0.70,2.43,1.30,1.53,1.01,1
1733,"pirómano","arsonist",1.37,1.00,3.23,1.45,2.80,1.35,3.73,1.23,2.80,1.42,1
1734,"pirotecnia","fireworks",3.28,1.51,1.31,0.89,1.17,0.47,2.69,1.26,1.07,0.37,1
