id,palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabradecimal
1065,"habitación","room",2.67,1.42,1.27,0.69,1.53,0.97,1.40,0.81,1.20,0.55,1
1066,"habitante","inhabitant",2.00,1.20,1.23,0.57,1.27,0.58,1.37,0.72,1.23,0.82,1
1067,"hábito","habit",1.70,1.12,1.13,0.43,1.47,0.82,1.30,0.75,1.13,0.43,1
1068,"hacha","ax",1.47,1.11,2.33,1.58,1.47,1.07,2.97,1.40,1.50,1.14,1
1069,"hada","fairy",3.17,1.34,1.17,0.46,1.43,0.90,1.53,0.82,1.07,0.25,1
1070,"halcón","hawk",2.23,1.25,1.20,0.48,1.20,0.61,2.60,1.25,1.40,0.81,1
1071,"hallazgo","finding",3.62,1.15,1.21,0.68,1.34,0.97,1.72,0.96,1.21,0.49,1
1072,"hamaca","hammock",3.93,1.26,1.00,0.00,1.17,0.46,1.13,0.35,1.03,0.18,1
1073,"hambriento","hungry",1.20,0.55,2.57,1.50,3.17,1.44,1.93,1.17,1.20,0.66,1
1074,"hamburguesa","hamburger",3.57,1.04,1.13,0.43,1.23,0.63,1.33,0.76,1.43,0.77,1
1075,"hámster","hamster",2.60,1.35,1.27,0.69,1.23,0.63,1.57,0.94,1.90,1.18,1
1076,"harto","blase",1.07,0.37,2.57,1.48,1.90,1.30,1.47,0.97,1.70,1.15,3
1077,"hastío","ennui",1.06,0.24,1.35,0.70,1.76,0.97,1.53,1.01,1.71,1.36,1
1078,"hechicero","sorcerer",2.13,1.33,1.40,0.89,1.30,0.79,2.00,1.20,1.40,0.67,3
1079,"hedor","stench",1.15,0.54,1.81,0.94,1.38,0.75,1.62,0.80,4.04,1.04,1
1080,"heno","hay",1.09,0.29,1.09,0.29,1.30,1.02,1.09,0.29,1.35,0.57,1
1081,"heridas","wounds",1.13,0.51,1.93,1.23,3.03,1.22,2.67,1.21,2.13,1.14,1
1082,"herido","hurt",1.00,0.00,1.73,1.05,3.90,1.12,3.13,1.17,2.20,1.21,3
1083,"hermana","sister",3.97,1.30,1.50,0.68,1.20,0.61,1.10,0.40,1.00,0.00,1
1084,"hermano","brother",4.30,1.24,1.47,0.63,1.47,0.94,1.10,0.40,1.10,0.40,1
1085,"hermoso","beautiful",4.33,0.66,1.17,0.38,1.20,0.48,1.40,0.72,1.13,0.43,3
1086,"héroe","hero",3.87,1.28,1.33,0.80,1.30,0.70,1.50,0.90,1.13,0.43,1
1087,"heroína","heroin",1.73,1.41,2.77,1.65,2.83,1.74,3.00,1.70,3.07,1.86,1
1088,"heroísmo","heroism",3.03,0.89,1.70,1.06,1.37,0.67,2.00,1.17,1.50,0.90,1
1089,"herramienta","tool",1.80,1.10,1.37,0.76,1.17,0.53,1.70,0.95,1.23,0.63,1
1090,"herrero","blacksmith",1.17,0.46,1.10,0.40,1.10,0.40,1.20,0.55,1.07,0.37,1
1091,"hervir","scalding",1.47,0.97,1.37,0.85,1.07,0.37,1.70,0.99,1.07,0.37,1
1092,"hidalguía","nobility",2.00,1.26,1.43,0.75,1.52,0.93,1.38,0.74,1.33,0.73,1
1093,"hielo","ice",1.97,1.10,1.13,0.43,1.20,0.48,1.33,0.76,1.00,0.00,1
1094,"hiena","hyena",1.37,0.76,1.57,0.97,1.40,0.72,3.33,1.30,1.90,1.18,1
1095,"hierro","iron",1.17,0.65,1.20,0.55,1.07,0.37,1.17,0.46,1.13,0.43,1
1096,"hija","daughter",3.77,1.41,1.33,0.92,1.53,1.01,2.27,1.34,1.17,0.75,1
1097,"hijo","son",4.43,0.86,1.23,0.73,1.43,0.97,2.00,1.29,1.33,0.88,1
1098,"hipopótamo","hippopotamus",2.70,1.29,1.30,0.70,1.27,0.58,2.73,1.34,1.70,1.06,1
1099,"historia","history",2.17,1.26,1.53,0.82,1.80,1.00,1.60,0.93,1.37,0.72,1
1100,"hogar","home",4.30,0.99,1.67,1.09,1.83,1.09,1.50,0.94,1.23,0.73,1
1101,"hoguera","bonfire",2.53,1.28,1.60,1.07,1.63,0.96,2.10,1.03,1.07,0.25,1
1102,"hoja","sheet",2.17,1.26,1.30,0.65,1.57,0.94,1.33,0.80,1.27,0.52,1
1103,"holgazán","idle",1.23,0.63,2.33,1.21,2.50,1.25,1.23,0.57,1.90,1.16,1
1104,"hombre","man",2.57,1.52,1.57,0.97,1.47,0.94,1.53,0.90,1.30,0.65,1
1105,"homenaje","tribute",3.50,1.22,1.17,0.46,2.17,1.21,1.23,0.68,1.03,0.18,1
1106,"homicida","murderer",1.03,0.19,3.76,1.35,3.52,1.35,4.24,1.02,2.62,1.57,1
1107,"homicidio","homicide",1.00,0.00,3.83,1.15,4.53,0.82,4.33,0.96,3.37,1.45,1
1108,"honesto","honest",3.57,1.14,1.17,0.46,1.27,0.69,1.37,0.81,1.10,0.40,1
1109,"hongo","fungus",1.17,0.53,1.70,1.02,1.70,0.84,2.63,1.45,3.83,1.34,1
1110,"honor","honor",3.73,1.17,1.70,1.02,1.30,0.70,1.80,1.06,1.30,0.70,1
